date,city_name,temp,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,rain,clouds_all,broken clouds,overcast clouds,scattered clouds,sky is clear,few clouds,fog,light rain,mist,haze,moderate rain,heavy intensity rain,light intensity drizzle,drizzle,heavy intensity drizzle,very heavy rain,thunderstorm with heavy rain,thunderstorm with rain,thunderstorm,proximity shower rain,thunderstorm with light rain,shower rain,light intensity shower rain,light thunderstorm
2010-01-31,Mysuru,24.57,24.27,19.09,29.74,1014.75,55.42,1.86,62.25,0.0,70.96,5,14,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02-01,Hassan,21.28,21.28,15.57,27.86,1014.67,68.17,1.68,137.96,0.0,43.08,3,5,9,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02-01,Kodagu,23.08,23.64,18.22,31.0,1013.88,78.58,1.25,143.29,0.0,49.21,2,8,5,3,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02-01,Mysuru,24.3,24.1,19.02,29.84,1014.17,56.17,1.95,78.38,0.0,64.88,9,9,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02-02,Hassan,21.42,21.28,15.07,27.4,1014.21,63.12,2.09,105.71,0.0,5.12,0,0,1,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02-02,Kodagu,23.59,24.12,18.12,31.1,1013.04,74.96,1.38,136.67,0.0,7.83,0,0,2,18,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02-02,Mysuru,24.48,24.12,18.01,29.51,1013.79,52.71,2.43,85.04,0.0,5.21,0,0,1,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02-03,Hassan,20.79,20.3,14.44,27.12,1014.17,54.0,2.44,88.46,0.0,35.33,2,4,7,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02-03,Kodagu,23.54,23.63,17.91,31.35,1012.92,65.79,1.17,124.46,0.0,42.25,6,4,5,4,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02-03,Mysuru,24.11,23.29,17.65,29.87,1013.62,43.46,2.26,86.33,0.0,39.54,3,4,6,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02-04,Hassan,20.69,20.25,14.81,26.9,1014.58,56.5,2.44,110.96,0.0,2.88,0,0,1,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02-04,Kodagu,23.19,23.22,17.7,30.56,1013.29,66.33,1.58,136.75,0.0,2.5,0,0,0,20,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02-04,Mysuru,24.07,23.29,17.54,29.52,1014.04,44.5,2.4,86.38,0.0,4.67,0,0,2,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02-05,Hassan,20.85,20.29,14.21,26.92,1015.21,53.0,2.72,83.17,0.0,1.58,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02-05,Kodagu,23.46,23.28,16.44,30.74,1013.79,60.04,1.48,120.42,0.0,6.5,0,0,2,17,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02-05,Mysuru,23.83,23.06,16.25,29.3,1014.62,45.25,2.37,77.33,0.0,2.54,0,0,0,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02-06,Hassan,21.01,20.54,14.28,26.57,1015.79,51.25,3.77,93.83,0.0,2.08,0,0,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02-06,Kodagu,23.65,22.96,16.83,30.31,1013.62,48.42,2.41,77.42,0.0,2.42,1,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02-06,Mysuru,23.19,22.44,15.8,28.65,1015.21,46.92,3.35,91.71,0.0,3.96,0,0,2,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02-07,Hassan,20.81,20.45,14.34,26.64,1015.5,56.58,3.17,91.92,0.0,45.96,6,4,6,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02-07,Kodagu,23.29,22.92,16.08,30.2,1013.96,56.92,2.01,87.25,0.0,43.42,5,3,10,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02-07,Mysuru,23.13,22.57,16.51,28.55,1015.12,51.17,2.75,87.04,0.0,63.5,14,5,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02-08,Hassan,21.19,21.03,15.16,28.37,1013.38,65.71,1.84,140.04,0.0,8.71,2,0,1,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02-08,Kodagu,23.33,23.43,17.19,31.19,1012.42,67.12,1.27,141.08,0.0,14.08,3,1,1,16,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02-08,Mysuru,23.98,23.39,17.54,29.72,1012.88,49.17,1.95,75.62,0.0,19.38,1,3,2,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02-09,Hassan,22.16,22.13,15.48,29.03,1012.17,69.08,1.58,215.58,0.0,11.21,3,0,1,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02-09,Kodagu,23.59,23.97,17.49,32.01,1012.12,72.46,1.23,161.83,0.0,18.88,3,0,4,11,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
